,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
0,2662,40,1,962,323.17745052,-0.93780192,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1082.387,11.806,23.348,0.382,0.52,0.95,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1078.554,2.259,20.618,0.059,0.88,-0.01,0,1078.495,6.624,19.907,0.11,1.11,-0.26,0
1,2662,40,1,1158,323.17761033,-0.92720282,1179.684,8.386,18.76,0.017,0.62,-0.17,0,1178.818,13.261,17.793,0.018,1.66,0.11,0,1176.74,0.384,17.551,0.074,1.21,0.07,0,1174.904,3.712,17.406,0.034,1.87,0.04,0,1174.882,8.107,17.365,0.04,2.2,0.24,0
2,2662,40,1,751,323.1780947,-0.95385463,9999.99,9999.99,99.999,9.999,9.99,9.99,9,936.344,17.659,22.294,0.138,0.51,-0.27,0,934.394,4.8,21.087,0.051,0.96,-0.02,0,932.635,8.118,20.584,0.058,0.88,-0.03,0,932.52,12.438,20.227,0.143,1.09,-0.25,0
3,2662,40,1,2393,323.17821823,-0.89433552,1478.562,13.794,16.256,0.012,1.42,-0.09,0,1477.855,18.806,14.954,0.024,3.92,0.1,0,1475.62,5.907,14.525,0.013,0.92,-0.01,0,1473.685,9.248,14.372,0.03,2.08,0.0,0,1473.782,13.736,14.341,0.017,2.04,-0.1,0
4,2662,40,1,743,323.17851634,-0.95490422,9999.99,9999.99,99.999,9.999,9.99,9.99,9,926.796,21.491,22.92,0.253,0.52,-0.73,0,924.851,8.634,21.358,0.078,1.23,0.16,0,923.094,11.951,20.084,0.034,0.71,-0.06,0,922.976,16.268,19.347,0.083,1.32,-0.35,0
5,2662,40,1,6264,323.17943634,-0.86096363,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1781.462,29.91,22.361,0.134,0.46,0.22,0,1779.069,16.991,21.074,0.049,0.94,0.08,0,1777.033,20.344,20.428,0.061,1.06,-0.01,0,1777.252,24.927,19.764,0.073,0.84,-0.21,0
6,2662,40,1,621,323.17950994,-0.96457891,9999.99,9999.99,99.999,9.999,9.99,9.99,9,838.784,30.523,21.997,0.077,0.38,0.01,0,836.887,17.674,21.55,0.061,0.84,-0.04,0,835.156,20.987,21.433,0.128,0.98,-0.02,0,835.006,25.277,21.035,0.312,1.12,-0.34,0
7,2662,40,1,567,323.17951175,-0.9692575,9999.99,9999.99,99.999,9.999,9.99,9.99,9,796.225,30.54,22.727,0.181,0.45,0.07,0,794.35,17.694,21.636,0.099,1.27,-0.1,0,792.632,21.005,21.251,0.084,0.76,0.03,0,792.466,25.282,21.064,0.3,1.03,0.15,0
8,2662,40,1,11338,323.17962733,-0.84035789,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1966.408,18.74,22.414,0.119,0.83,0.11,0,1964.311,22.101,21.115,0.087,0.9,-0.16,0,1964.604,26.743,19.991,0.109,0.98,-0.16,0
9,2662,40,1,316,323.17997914,-1.00367087,484.462,30.25,20.496,0.052,0.54,-0.1,0,483.229,34.8,18.928,0.014,0.8,-0.04,0,481.519,21.977,18.37,0.024,1.34,0.03,0,479.902,25.275,18.186,0.023,1.07,-0.01,0,479.614,29.455,18.032,0.032,1.26,-0.16,0
