,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
0,5390,40,5,3205,198.92074879,17.71100364,9999.99,9999.99,99.999,9.999,9.99,9.99,9,651.781,4.707,21.081,0.035,1.05,-0.07,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,651.197,1.213,20.017,0.155,1.3,-0.11,0.0
1,5390,40,5,81,198.92252961,17.64524149,55.528,59.717,21.408,0.072,0.39,0.22,0,56.631,63.323,18.946,0.023,1.71,-0.09,0,55.312,53.055,17.63,0.02,2.16,-0.01,0,56.741,55.684,16.872,0.045,2.77,0.04,0,56.106,59.843,16.493,0.022,1.2,-0.01,0.0
2,5390,40,5,1870,198.92391938,17.6943661,9999.99,9999.99,99.999,9.999,9.99,9.99,9,502.89,43.04,22.774,0.124,1.07,-0.16,0,501.323,32.743,21.537,0.061,0.94,0.1,0,502.879,35.39,21.07,0.079,0.77,-0.09,0,502.321,39.549,20.773,0.18,0.93,0.21,0.0
3,5390,40,5,1296,198.92473234,17.68487139,416.126,52.748,21.992,0.184,0.6,0.04,0,417.29,56.309,21.384,0.048,1.18,0.3,0,415.77,46.018,20.74,0.045,1.24,0.3,0,417.302,48.661,20.645,0.082,1.09,0.37,0,416.729,52.82,20.119,0.127,1.1,0.14,0.0
4,5390,40,5,1634,198.92477685,17.69067993,468.823,49.318,21.809,0.166,0.65,0.52,0,469.995,52.873,19.825,0.092,5.14,1.03,0,468.447,42.578,18.863,0.078,5.87,1.27,0,469.994,45.223,18.484,0.094,4.06,0.5,0,469.43,49.382,18.265,0.096,3.0,0.58,0.0
5,5390,40,5,3626,198.92525126,17.71555924,9999.99,9999.99,99.999,9.999,9.99,9.99,9,695.964,40.594,22.791,0.129,1.09,0.21,0,694.29,30.286,21.389,0.075,1.28,-0.01,0,695.901,32.94,20.186,0.045,0.85,0.03,0,695.376,37.098,19.645,0.066,0.88,-0.05,0.0
6,5390,40,5,482,198.9259511,17.66493467,236.15,76.364,21.43,0.107,0.57,-0.6,0,237.281,79.949,20.118,0.03,1.38,0.21,0,235.86,69.669,19.465,0.019,1.08,0.01,0,237.343,72.305,19.197,0.048,1.55,0.06,0,236.739,76.463,19.085,0.054,1.06,-0.06,0.0
7,5390,40,5,6634,198.92628416,17.77882224,1269.221,4.401,17.803,0.014,0.87,-0.02,0,1270.53,7.852,16.469,0.016,1.98,-0.01,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1270.312,0.185,15.635,0.018,1.1,0.03,0,1269.885,4.344,15.771,0.031,2.01,-0.03,0.0
8,5390,40,5,344,198.92712041,17.65939741,186.695,90.101,21.123,0.075,0.5,-0.06,0,187.817,93.693,19.994,0.023,1.2,0.01,0,186.423,83.415,19.525,0.024,1.35,0.06,0,187.892,86.05,19.339,0.041,1.24,0.15,0,187.28,90.208,19.286,0.052,0.85,-0.06,0.0
9,5390,40,5,6807,198.92764031,17.79163057,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1387.578,11.081,22.561,0.123,1.24,0.65,0,1385.521,0.729,20.788,0.114,1.47,0.44,0,1387.328,3.411,19.807,0.067,1.58,0.33,0,1386.921,7.569,19.41,0.068,1.04,0.31,0.0
10,5390,40,5,440,198.92886054,17.66331172,223.267,102.567,20.664,0.069,0.67,-0.07,0,224.395,106.155,19.694,0.017,0.98,-0.05,0,222.979,95.875,19.25,0.017,1.08,-0.04,0,224.459,98.511,19.046,0.038,1.32,0.04,0,223.854,102.669,19.073,0.052,1.03,0.08,0.0
11,5390,40,5,5795,198.92929041,17.74679318,980.603,51.411,21.507,0.126,0.65,0.17,0,981.861,54.902,20.691,0.03,1.09,-0.12,0,980.027,44.575,20.47,0.036,1.16,-0.01,0,981.721,47.241,20.348,0.05,0.82,-0.02,0,981.245,51.399,20.402,0.164,1.18,0.01,0.0
12,5390,40,5,7139,198.93159377,17.85466531,1960.088,0.262,19.94,0.065,0.72,0.19,0,1961.513,3.628,18.274,0.012,1.06,-0.02,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1960.8,0.103,16.826,0.037,1.26,0.0,0.0
13,5390,40,5,94,198.93298023,17.64531273,62.74,149.973,22.669,0.262,0.46,-0.69,0,63.837,153.584,23.23,0.181,1.04,-0.82,0,62.508,143.313,22.086,0.089,0.87,-0.38,0,63.946,145.944,21.41,0.091,0.67,-0.03,0,63.312,150.1,20.707,0.186,1.01,-0.14,0.0
