,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
0,2141,40,4,271,151.3474454,0.11432515,1119.994,19.957,22.596,0.391,0.44,-0.13,0,1117.579,23.286,20.247,0.018,0.79,-0.16,0,1116.283,12.839,18.864,0.012,0.93,-0.05,0,1116.306,15.626,18.258,0.012,0.79,-0.04,0,1115.729,19.401,17.985,0.027,0.66,-0.06,0
1,2141,40,4,284,151.34745973,0.12531639,1219.861,20.072,22.557,0.361,0.43,1.47,0,1217.557,23.416,20.741,0.032,0.95,-0.14,0,1216.215,12.944,19.385,0.016,0.93,-0.06,0,1216.261,15.755,18.731,0.016,0.85,-0.04,0,1215.683,19.517,18.361,0.042,0.72,-0.24,0
2,2141,40,4,160,151.34916692,0.07294854,9999.99,9999.99,99.999,9.999,9.99,9.99,9,741.211,38.925,22.296,0.122,0.99,-1.2,0,740.09,28.579,21.643,0.086,0.9,0.33,0,740.029,31.268,21.381,0.1,0.77,0.05,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
3,2141,40,4,7,151.34950593,-0.00635557,9999.99,9999.99,99.999,9.999,9.99,9.99,9,20.102,41.962,20.999,0.102,2.45,2.08,0,19.314,31.801,20.151,0.104,3.72,1.68,0,19.091,34.309,19.787,0.118,3.29,1.08,0,18.527,38.238,19.365,0.139,0.86,1.7,0
4,2141,40,4,318,151.34980609,0.16042309,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1536.866,44.741,22.955,0.183,0.84,0.04,0,1535.378,34.191,21.333,0.065,0.91,0.09,0,1535.496,37.08,20.674,0.058,0.81,-0.19,0,1534.919,40.799,20.418,0.263,0.65,-0.21,0
5,2141,40,4,163,151.34982481,0.07345627,748.658,41.631,22.089,0.294,0.47,-0.59,0,745.829,44.905,20.393,0.025,0.96,-0.21,0,744.706,34.558,19.904,0.022,0.91,-0.09,0,744.646,37.248,19.658,0.034,1.03,0.05,0,744.076,41.076,19.508,0.089,0.58,0.01,0
6,2141,40,4,348,151.3510131,0.18482935,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1758.808,55.713,21.742,0.072,0.97,-0.12,0,1757.218,45.108,20.341,0.038,1.18,0.0,0,1757.387,48.051,19.669,0.032,0.96,-0.03,0,1756.81,51.741,19.127,0.103,0.76,-0.73,0
7,2141,40,4,269,151.3519193,0.11198985,1098.769,60.617,22.441,0.325,0.42,0.76,0,1096.333,63.944,21.743,0.096,1.26,1.91,0,1095.05,53.511,20.608,0.084,2.11,1.27,0,1095.069,56.286,20.196,0.071,1.44,0.65,0,1094.5,60.068,19.917,0.15,0.66,1.38,0
8,2141,40,4,232,151.35223254,0.09128475,9999.99,9999.99,99.999,9.999,9.99,9.99,9,907.994,66.789,21.697,0.096,1.34,1.44,0,906.798,56.405,20.495,0.092,2.5,1.28,0,906.775,59.133,20.113,0.11,2.43,0.93,0,906.208,62.94,19.604,0.143,0.86,0.55,0
9,2141,40,4,31,151.35359698,0.01839803,248.508,75.961,21.416,0.228,0.49,-1.17,0,245.121,79.162,20.601,0.032,1.07,-0.28,0,244.233,68.951,20.333,0.037,1.15,0.0,0,244.061,71.51,20.154,0.042,0.9,-0.14,0,243.501,75.41,19.923,0.134,0.56,-0.1,0
10,2141,40,4,25,151.35438061,0.01342964,203.386,83.086,19.651,0.092,0.91,-0.52,0,199.95,86.281,17.472,0.03,5.23,0.06,0,199.083,76.082,16.618,0.005,0.73,0.0,0,198.901,78.629,16.183,0.005,0.54,0.0,0,198.343,82.536,15.883,0.014,1.16,0.04,0
11,2141,40,4,358,151.35472202,0.19231519,1828.486,85.984,20.378,0.081,0.61,-0.32,0,1826.868,89.42,19.078,0.014,1.18,-0.15,0,1825.25,78.805,18.632,0.01,0.84,0.04,0,1825.434,81.76,18.442,0.021,1.23,-0.05,0,1824.863,85.442,18.28,0.092,1.35,-1.27,0
12,2141,40,4,315,151.35549814,0.15444307,1484.477,93.084,22.314,0.336,0.49,0.3,0,1482.474,96.47,20.374,0.052,2.05,1.29,0,1481.016,85.944,19.594,0.072,3.66,1.29,0,1481.123,88.812,19.12,0.073,3.09,0.82,0,1480.556,92.542,18.739,0.087,1.01,0.58,0
13,2141,40,4,139,151.3562924,0.07101424,9999.99,9999.99,99.999,9.999,9.99,9.99,9,723.612,103.681,21.326,0.058,1.09,-0.24,0,722.504,93.352,20.766,0.06,1.32,-0.15,0,722.441,96.027,20.514,0.048,0.78,-0.1,0,721.881,99.863,20.442,0.193,0.54,-0.21,0
14,2141,40,4,211,151.35705353,0.08292711,9999.99,9999.99,99.999,9.999,9.99,9.99,9,831.968,110.601,20.734,0.037,1.11,-0.26,0,830.811,100.245,19.218,0.019,1.2,-0.05,0,830.772,102.947,18.37,0.009,0.57,-0.02,0,830.213,106.769,17.896,0.022,0.58,0.03,0
